"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2010,"1","Sweden",":se: Sweden","swe","se","10841596","16859907","27701503"
2010,"2","United States",":us: United States","usa","us","17630000","4050000","21680000"
2010,"3","European Commission",":eu: European Commission","eu","eu","19865508","0","19865508"
2010,"4","Norway",":no: Norway","nor","no","7096900","12657794","19754694"
2010,"5","United Kingdom",":gb: United Kingdom","gbr","gb","3135024","11146496","14281520"
2010,"6","Australia",":au: Australia","aus","au","4196445","6235401","10431846"
2010,"7","Netherlands",":nl: Netherlands","nld","nl","5343","6993007","6998350"
2010,"8","Canada",":ca: Canada","can","ca","5992341","973141","6965482"
2010,"9","Japan",":jp: Japan","jpn","jp","2950000","2037931","4987931"
2010,"10","Switzerland",":ch: Switzerland","che","ch","3349712","1419056","4768768"
2010,"11","Ireland",":ie: Ireland","irl","ie","3332952","1349528","4682480"
2010,"12","Germany",":de: Germany","deu","de","3326182","1318681","4644863"
2010,"13","New Zealand",":nz: New Zealand","nzl","nz","0","4312801","4312801"
2010,"14","Finland",":fi: Finland","fin","fi","202429","4048583","4251012"
2010,"15","Denmark",":dk: Denmark","dnk","dk","463876","3489502","3953378"
2010,"16","Austria",":at: Austria","aut","at","2898672","139417","3038089"
2010,"18","Spain",":es: Spain","esp","es","2489363","0","2489363"
2010,"19","Russian Federation",":ru: Russian Federation","rus","ru","1500000","639000","2139000"
2010,"20","Belgium",":be: Belgium","bel","be","694444","1233046","1927490"
2010,"21","Italy",":it: Italy","ita","it","1408314","0","1408314"
2010,"22","France",":fr: France","fra","fr","269906","1079622","1349528"
2010,"23","Luxembourg",":lu: Luxembourg","lux","lu","0","1079456","1079456"
2010,"24","Korea, Republic of",":kr: Korea, Republic of","kor","kr","300000","500000","800000"
2010,"25","United Arab Emirates",":ae: United Arab Emirates","are","ae","249975","499975","749950"
2010,"26","Brazil",":br: Brazil","bra","br","545000","0","545000"
2010,"27","Turkmenistan",":tm: Turkmenistan","tkm","tm","500000","0","500000"
2010,"27","Timor-Leste",":tl: Timor-Leste","tls","tl","500000","0","500000"
2010,"29","Iceland",":is: Iceland","isl","is","0","300000","300000"
2010,"30","Turkey",":tr: Turkey","tur","tr","250000","0","250000"
2010,"31","Greece",":gr: Greece","grc","gr","164766","0","164766"
2010,"32","Poland",":pl: Poland","pol","pl","0","103000","103000"
2010,"33","Kuwait",":kw: Kuwait","kwt","kw","100000","0","100000"
2010,"33","Malaysia",":my: Malaysia","mys","my","100000","0","100000"
2010,"35","Azerbaijan",":az: Azerbaijan","aze","az","99978","0","99978"
2010,"36","Singapore",":sg: Singapore","sgp","sg","50000","20000","70000"
2010,"38","Portugal",":pt: Portugal","prt","pt","50000","0","50000"
2010,"38","Philippines",":ph: Philippines","phl","ph","50000","0","50000"
2010,"38","Congo",":cg: Congo","cog","cg","50000","0","50000"
2010,"41","Monaco",":mc: Monaco","mco","mc","0","46748","46748"
2010,"42","Estonia",":ee: Estonia","est","ee","0","38243","38243"
2010,"43","Bahamas",":bs: Bahamas","bhs","bs","0","2000","2000"
2010,"44","Afghanistan",":af: Afghanistan","afg","af","0","100","100"
