"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2024,"1","United States",":us: United States","usa","us","59744131","3500000","63244131"
2024,"2","United Kingdom",":gb: United Kingdom","gbr","gb","5145449","26843074","31988523"
2024,"3","Sweden",":se: Sweden","swe","se","16130728","14134649","30265377"
2024,"4","Germany",":de: Germany","deu","de","19732826","5251163","24983989"
2024,"5","European Commission",":eu: European Commission","eu","eu","18908992","0","18908992"
2024,"6","Norway",":no: Norway","nor","no","466975","14492648","14959623"
2024,"7","Denmark",":dk: Denmark","dnk","dk","0","10030891","10030891"
2024,"8","Canada",":ca: Canada","can","ca","8455989","1477928","9933917"
2024,"9","Qatar",":qa: Qatar","qat","qa","873037","8000000","8873037"
2024,"10","Netherlands",":nl: Netherlands","nld","nl","0","7502680","7502680"
2024,"11","Korea, Republic of",":kr: Korea, Republic of","kor","kr","1000000","6000000","7000000"
2024,"12","Australia",":au: Australia","aus","au","664608","5981478","6646086"
2024,"13","Belgium",":be: Belgium","bel","be","0","6223176","6223176"
2024,"14","Ireland",":ie: Ireland","irl","ie","218818","5952381","6171199"
2024,"15","Switzerland",":ch: Switzerland","che","ch","457117","5530973","5988090"
2024,"16","Japan",":jp: Japan","jpn","jp","3620000","194798","3814798"
2024,"17","New Zealand",":nz: New Zealand","nzl","nz","0","3066500","3066500"
2024,"18","Finland",":fi: Finland","fin","fi","0","2735230","2735230"
2024,"19","Spain",":es: Spain","esp","es","2700246","0","2700246"
2024,"20","Saudi Arabia",":sa: Saudi Arabia","sau","sa","1499985","999993","2499978"
2024,"21","Poland",":pl: Poland","pol","pl","1621645","0","1621645"
2024,"22","Luxembourg",":lu: Luxembourg","lux","lu","109409","1414508","1523917"
2024,"23","Austria",":at: Austria","aut","at","1089325","270270","1359595"
2024,"24","France",":fr: France","fra","fr","0","1071811","1071811"
2024,"25","Italy",":it: Italy","ita","it","1045492","0","1045492"
2024,"26","Turkey",":tr: Turkey","tur","tr","525000","500000","1025000"
2024,"28","Portugal",":pt: Portugal","prt","pt","933042","0","933042"
2024,"29","Russian Federation",":ru: Russian Federation","rus","ru","0","900000","900000"
2024,"30","Iceland",":is: Iceland","isl","is","0","874759","874759"
2024,"31","Estonia",":ee: Estonia","est","ee","605454","161812","767266"
2024,"32","Greece",":gr: Greece","grc","gr","265565","0","265565"
2024,"33","Cyprus",":cy: Cyprus","cyp","cy","182442","67873","250315"
2024,"34","Jersey",":je: Jersey","jey","je","237552","0","237552"
2024,"35","South Africa",":za: South Africa","zaf","za","0","167603","167603"
2024,"36","Singapore",":sg: Singapore","sgp","sg","0","50000","50000"
2024,"37","Malta",":mt: Malta","mlt","mt","42418","0","42418"
2024,"38","Philippines",":ph: Philippines","phl","ph","35000","0","35000"
2024,"39","Monaco",":mc: Monaco","mco","mc","0","32432","32432"
2024,"40","Latvia",":lv: Latvia","lva","lv","26539","0","26539"
