"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2013,"1","Sweden",":se: Sweden","swe","se","16089175","19307200","35396375"
2013,"2","United Kingdom",":gb: United Kingdom","gbr","gb","2350829","31234772","33585601"
2013,"3","United States",":us: United States","usa","us","27174402","3568529","30742931"
2013,"4","European Commission",":eu: European Commission","eu","","21372513","0","21372513"
2013,"5","Norway",":no: Norway","nor","no","8935498","11287985","20223483"
2013,"6","Australia",":au: Australia","aus","au","4495450","9424800","13920250"
2013,"7","Switzerland",":ch: Switzerland","che","ch","7824155","2096436","9920591"
2013,"8","Canada",":ca: Canada","can","ca","7584948","992950","8577898"
2013,"9","Japan",":jp: Japan","jpn","jp","5420000","2052428","7472428"
2013,"10","Netherlands",":nl: Netherlands","nld","nl","0","6250000","6250000"
2013,"11","Germany",":de: Germany","deu","de","3715835","1972031","5687866"
2013,"12","Denmark",":dk: Denmark","dnk","dk","0","5337964","5337964"
2013,"13","Spain",":es: Spain","esp","es","5215203","0","5215203"
2013,"14","Finland",":fi: Finland","fin","fi","719825","3978780","4698605"
2013,"15","New Zealand",":nz: New Zealand","nzl","nz","0","4280690","4280690"
2013,"16","Ireland",":ie: Ireland","irl","ie","929932","3267132","4197064"
2013,"17","Belgium",":be: Belgium","bel","be","1506045","1356852","2862897"
2013,"18","Russian Federation",":ru: Russian Federation","rus","ru","950000","500000","1450000"
2013,"19","France",":fr: France","fra","fr","0","1308901","1308901"
2013,"20","Luxembourg",":lu: Luxembourg","lux","lu","135685","916230","1051915"
2013,"21","Korea, Republic of",":kr: Korea, Republic of","kor","kr","500000","500000","1000000"
2013,"22","Italy",":it: Italy","ita","it","685542","0","685542"
2013,"23","Poland",":pl: Poland","pol","pl","290839","257904","548743"
2013,"24","United Arab Emirates",":ae: United Arab Emirates","are","ae","0","520000","520000"
2013,"25","Austria",":at: Austria","aut","at","271739","149254","420993"
2013,"27","Colombia",":co: Colombia","col","co","150000","0","150000"
2013,"28","Iceland",":is: Iceland","isl","is","0","100000","100000"
2013,"29","Kazakhstan",":kz: Kazakhstan","kaz","kz","99970","0","99970"
2013,"30","Czech Republic",":cz: Czech Republic","cze","cz","0","61851","61851"
2013,"31","Estonia",":ee: Estonia","est","ee","0","61133","61133"
2013,"32","Malta",":mt: Malta","mlt","mt","54348","0","54348"
2013,"33","Monaco",":mc: Monaco","mco","mc","0","52151","52151"
2013,"34","Hungary",":hu: Hungary","hun","hu","0","26178","26178"
2013,"35","Singapore",":sg: Singapore","sgp","sg","0","20000","20000"
2013,"36","Lithuania",":lt: Lithuania","ltu","lt","0","19096","19096"
2013,"37","Andorra",":ad: Andorra","and","ad","13569","0","13569"
2013,"38","Afghanistan",":af: Afghanistan","afg","af","0","1000","1000"
2013,"38","Namibia",":na: Namibia","nam","na","0","1000","1000"
