"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2012,"1","United Kingdom",":gb: United Kingdom","gbr","gb","1266870","37284087","38550957"
2012,"2","Sweden",":se: Sweden","swe","se","14895923","19535250","34431173"
2012,"3","United States",":us: United States","usa","us","24423348","4000000","28423348"
2012,"4","European Commission",":eu: European Commission","eu","eu","25422414","0","25422414"
2012,"5","Norway",":no: Norway","nor","no","6927007","15003754","21930761"
2012,"6","Australia",":au: Australia","aus","au","6199320","8320800","14520120"
2012,"7","Canada",":ca: Canada","can","ca","6983007","1016689","7999696"
2012,"8","Netherlands",":nl: Netherlands","nld","nl","0","7142857","7142857"
2012,"9","Japan",":jp: Japan","jpn","jp","4920000","2052428","6972428"
2012,"10","Denmark",":dk: Denmark","dnk","dk","0","5389388","5389388"
2012,"11","Switzerland",":ch: Switzerland","che","ch","3529016","1595835","5124851"
2012,"12","Germany",":de: Germany","deu","de","3158094","1932507","5090601"
2012,"13","New Zealand",":nz: New Zealand","nzl","nz","0","5038175","5038175"
2012,"14","Finland",":fi: Finland","fin","fi","0","3931848","3931848"
2012,"15","Spain",":es: Spain","esp","es","3925354","0","3925354"
2012,"16","Ireland",":ie: Ireland","irl","ie","2520757","1324503","3845260"
2012,"17","Russian Federation",":ru: Russian Federation","rus","ru","1900000","500000","2400000"
2012,"18","Belgium",":be: Belgium","bel","be","497345","1326258","1823603"
2012,"19","Austria",":at: Austria","aut","at","1616988","146082","1763070"
2012,"20","France",":fr: France","fra","fr","0","1328021","1328021"
2012,"21","Luxembourg",":lu: Luxembourg","lux","lu","0","928207","928207"
2012,"22","Italy",":it: Italy","ita","it","703461","0","703461"
2012,"23","Korea, Republic of",":kr: Korea, Republic of","kor","kr","100000","500000","600000"
2012,"24","Poland",":pl: Poland","pol","pl","410663","93691","504354"
2012,"25","United Arab Emirates",":ae: United Arab Emirates","are","ae","249975","20000","269975"
2012,"26","Kazakhstan",":kz: Kazakhstan","kaz","kz","0","199929","199929"
2012,"27","Cyprus",":cy: Cyprus","cyp","cy","129198","0","129198"
2012,"28","Czech Republic",":cz: Czech Republic","cze","cz","0","99895","99895"
2012,"29","Andorra",":ad: Andorra","and","ad","69959","0","69959"
2012,"30","Estonia",":ee: Estonia","est","ee","0","64802","64802"
2012,"31","Liechtenstein",":li: Liechtenstein","lie","li","55127","0","55127"
2012,"32","Monaco",":mc: Monaco","mco","mc","0","53121","53121"
2012,"33","Malta",":mt: Malta","mlt","mt","33699","0","33699"
2012,"34","Argentina",":ar: Argentina","arg","ar","27326","0","27326"
2012,"35","Singapore",":sg: Singapore","sgp","sg","0","20000","20000"
2012,"36","Chile",":cl: Chile","chl","cl","15000","0","15000"
2012,"37","Hungary",":hu: Hungary","hun","hu","0","9804","9804"
2012,"38","Afghanistan",":af: Afghanistan","afg","af","0","1000","1000"
