"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2025,"1","United Kingdom",":gb: United Kingdom","gbr","gb","722879","26521227","27244106"
2025,"2","Sweden",":se: Sweden","swe","se","11936943","9345087","21282030"
2025,"3","Germany",":de: Germany","deu","de","12273324","2450980","14724304"
2025,"4","Norway",":no: Norway","nor","no","0","13325735","13325735"
2025,"5","Denmark",":dk: Denmark","dnk","dk","0","9779237","9779237"
2025,"6","Qatar",":qa: Qatar","qat","qa","1142577","8000000","9142577"
2025,"7","Netherlands",":nl: Netherlands","nld","nl","0","7812500","7812500"
2025,"8","Australia",":au: Australia","aus","au","624126","5617140","6241266"
2025,"9","Belgium",":be: Belgium","bel","be","0","6223176","6223176"
2025,"10","Ireland",":ie: Ireland","irl","ie","208333","5926724","6135057"
2025,"11","Switzerland",":ch: Switzerland","che","ch","125000","5518764","5643764"
2025,"12","Finland",":fi: Finland","fin","fi","0","2604167","2604167"
2025,"13","Saudi Arabia",":sa: Saudi Arabia","sau","sa","1499985","0","1499985"
2025,"14","Japan",":jp: Japan","jpn","jp","1475000","0","1475000"
2025,"15","Iceland",":is: Iceland","isl","is","0","1254150","1254150"
2025,"16","Luxembourg",":lu: Luxembourg","lux","lu","0","1137539","1137539"
2025,"17","Austria",":at: Austria","aut","at","1089325","0","1089325"
2025,"18","Korea, Republic of",":kr: Korea, Republic of","kor","kr","1000000","0","1000000"
2025,"19","Estonia",":ee: Estonia","est","ee","431500","161812","593312"
2025,"20","Jersey",":je: Jersey","jey","je","301425","0","301425"
2025,"21","Singapore",":sg: Singapore","sgp","sg","0","50000","50000"
