"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2020,"1","United States",":us: United States","usa","us","46699651","3355422","50055073"
2020,"2","United Kingdom",":gb: United Kingdom","gbr","gb","3202349","32782520","35984869"
2020,"3","Sweden",":se: Sweden","swe","se","11674202","19598935","31273137"
2020,"4","Germany",":de: Germany","deu","de","19393258","5573399","24966657"
2020,"5","Norway",":no: Norway","nor","no","4293036","10077315","14370351"
2020,"6","European Commission",":eu: European Commission","eu","eu","13145681","0","13145681"
2020,"7","Canada",":ca: Canada","can","ca","9226051","1428918","10654969"
2020,"8","Denmark",":dk: Denmark","dnk","dk","0","10638268","10638268"
2020,"9","Qatar",":qa: Qatar","qat","qa","357980","9999970","10357950"
2020,"10","Switzerland",":ch: Switzerland","che","ch","5788160","2183406","7971566"
2020,"11","Netherlands",":nl: Netherlands","nld","nl","0","7918552","7918552"
2020,"12","Belgium",":be: Belgium","bel","be","0","7227642","7227642"
2020,"13","Australia",":au: Australia","aus","au","669965","6029689","6699654"
2020,"14","Japan",":jp: Japan","jpn","jp","4789923","861818","5651741"
2020,"15","Ireland",":ie: Ireland","irl","ie","634140","3619910","4254050"
2020,"16","Spain",":es: Spain","esp","es","4241339","0","4241339"
2020,"17","France",":fr: France","fra","fr","1137656","2502844","3640500"
2020,"18","New Zealand",":nz: New Zealand","nzl","nz","0","2964500","2964500"
2020,"19","Finland",":fi: Finland","fin","fi","0","2759382","2759382"
2020,"20","Korea, Republic of",":kr: Korea, Republic of","kor","kr","200000","1970636","2170636"
2020,"21","United Arab Emirates",":ae: United Arab Emirates","are","ae","500000","1500000","2000000"
2020,"22","Austria",":at: Austria","aut","at","1213592","103409","1317001"
2020,"23","Russian Federation",":ru: Russian Federation","rus","ru","0","1000000","1000000"
2020,"24","Luxembourg",":lu: Luxembourg","lux","lu","108578","868622","977200"
2020,"25","Poland",":pl: Poland","pol","pl","779266","0","779266"
2020,"26","Italy",":it: Italy","ita","it","723625","0","723625"
2020,"27","Estonia",":ee: Estonia","est","ee","413305","165563","578868"
2020,"28","Saudi Arabia",":sa: Saudi Arabia","sau","sa","0","500000","500000"
2020,"28","Turkey",":tr: Turkey","tur","tr","0","500000","500000"
2020,"30","Iceland",":is: Iceland","isl","is","0","499950","499950"
2020,"31","Romania",":ro: Romania","rou","ro","298685","0","298685"
2020,"32","Greece",":gr: Greece","grc","gr","220751","0","220751"
2020,"34","Portugal",":pt: Portugal","prt","pt","46784","0","46784"
2020,"35","Monaco",":mc: Monaco","mco","mc","0","32967","32967"
2020,"36","Malta",":mt: Malta","mlt","mt","27293","0","27293"
2020,"37","Latvia",":lv: Latvia","lva","lv","23894","0","23894"
2020,"38","Singapore",":sg: Singapore","sgp","sg","0","19975","19975"
2020,"39","Malaysia",":my: Malaysia","mys","my","15000","0","15000"
2020,"40","Kazakhstan",":kz: Kazakhstan","kaz","kz","10000","0","10000"
