"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2014,"1","United Kingdom",":gb: United Kingdom","gbr","gb","7896628","32845062","40741690"
2014,"2","Sweden",":se: Sweden","swe","se","15149600","16159538","31309138"
2014,"3","United States",":us: United States","usa","us","26140865","3919150","30060015"
2014,"4","European Commission",":eu: European Commission","eu","eu","23581061","0","23581061"
2014,"5","Norway",":no: Norway","nor","no","5214087","11625534","16839621"
2014,"6","Australia",":au: Australia","aus","au","3780959","8103600","11884559"
2014,"7","Switzerland",":ch: Switzerland","che","ch","6898328","2217295","9115623"
2014,"8","Canada",":ca: Canada","can","ca","7835610","896379","8731989"
2014,"9","Germany",":de: Germany","deu","de","5937701","1981895","7919596"
2014,"10","Netherlands",":nl: Netherlands","nld","nl","0","6353240","6353240"
2014,"11","Japan",":jp: Japan","jpn","jp","5132000","983896","6115896"
2014,"12","Denmark",":dk: Denmark","dnk","dk","0","5507329","5507329"
2014,"13","Finland",":fi: Finland","fin","fi","187735","4070556","4258291"
2014,"14","New Zealand",":nz: New Zealand","nzl","nz","0","4172472","4172472"
2014,"15","Saudi Arabia",":sa: Saudi Arabia","sau","sa","3584025","0","3584025"
2014,"16","Kuwait",":kw: Kuwait","kwt","kw","3000000","0","3000000"
2014,"17","Ireland",":ie: Ireland","irl","ie","267380","2673797","2941177"
2014,"18","Belgium",":be: Belgium","bel","be","0","2788104","2788104"
2014,"19","United Arab Emirates",":ae: United Arab Emirates","are","ae","1363925","1019975","2383900"
2014,"20","France",":fr: France","fra","fr","0","1375516","1375516"
2014,"21","Luxembourg",":lu: Luxembourg","lux","lu","0","957679","957679"
2014,"22","Russian Federation",":ru: Russian Federation","rus","ru","450000","500000","950000"
2014,"23","Korea, Republic of",":kr: Korea, Republic of","kor","kr","400000","500000","900000"
2014,"24","Estonia",":ee: Estonia","est","ee","645510","206612","852122"
2014,"25","Spain",":es: Spain","esp","es","566893","0","566893"
2014,"26","Italy",":it: Italy","ita","it","553097","0","553097"
2014,"27","Poland",":pl: Poland","pol","pl","452989","26083","479072"
2014,"28","Turkey",":tr: Turkey","tur","tr","0","453886","453886"
2014,"32","Austria",":at: Austria","aut","at","0","122449","122449"
2014,"33","Iceland",":is: Iceland","isl","is","0","100000","100000"
2014,"34","Argentina",":ar: Argentina","arg","ar","90000","0","90000"
2014,"35","Guyana",":gy: Guyana","guy","gy","60267","0","60267"
2014,"36","Kazakhstan",":kz: Kazakhstan","kaz","kz","0","49970","49970"
2014,"37","Cyprus",":cy: Cyprus","cyp","cy","25221","0","25221"
2014,"38","Monaco",":mc: Monaco","mco","mc","0","21668","21668"
2014,"39","Singapore",":sg: Singapore","sgp","sg","0","20000","20000"
